latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-32.23132,19.06982,323.02,1.01,1,2025-03-11,0054,A,100,6.1NRT,290.16,20.97,N
-32.27217,19.08758,325.16,1.01,1,2025-03-11,0054,A,100,6.1NRT,291.58,24.12,N
-32.27385,19.09832,317.73,1.01,1,2025-03-11,0054,A,96,6.1NRT,290.54,16.6,N
12.75056,32.5901,305.97,1.19,1.09,2025-03-11,0039,A,66,6.1NRT,289.91,9.93,N
12.50347,27.92285,300.05,1.11,1.05,2025-03-11,0039,A,13,6.1NRT,289.54,5.71,N
11.0032,36.13308,314.92,2.29,1.46,2025-03-11,0041,A,90,6.1NRT,286.21,47.14,N
11.01736,36.12892,300.14,2.29,1.46,2025-03-11,0041,A,14,6.1NRT,284.76,13.85,N
11.00466,36.1263,315.54,2.29,1.46,2025-03-11,0041,A,91,6.1NRT,286.17,47.96,N
10.96385,36.05758,301.54,2.26,1.46,2025-03-11,0041,A,42,6.1NRT,286.04,16.34,N
10.96063,36.07637,305.39,2.27,1.46,2025-03-11,0041,A,64,6.1NRT,288.13,23.72,N
11.3632,32.12565,304.61,1.17,1.08,2025-03-11,0041,A,61,6.1NRT,289.36,7.65,N
11.36157,32.13608,311.16,1.17,1.08,2025-03-11,0041,A,82,6.1NRT,289.09,13.28,N
10.65133,35.24812,309.25,1.98,1.37,2025-03-11,0041,A,77,6.1NRT,283.7,28.4,N
11.60877,29.12748,300.05,1.01,1,2025-03-11,0041,A,13,6.1NRT,289.44,3.76,N
11.50453,29.58658,301.33,1,1,2025-03-11,0041,A,17,6.1NRT,287.51,3.88,N
11.4947,29.57845,312.27,1,1,2025-03-11,0041,A,84,6.1NRT,287.33,11.08,N
11.48726,29.56823,301.18,1,1,2025-03-11,0041,A,38,6.1NRT,286.82,4.27,N
11.48593,29.57713,301.1,1,1,2025-03-11,0041,A,38,6.1NRT,286.89,4.32,N
10.23022,36.64539,301.64,2.61,1.55,2025-03-11,0041,A,43,6.1NRT,288.13,23.2,N
11.47916,27.73979,305.89,1.1,1.05,2025-03-11,0041,A,66,6.1NRT,291.54,7.39,N
11.46995,27.73846,305.44,1.1,1.05,2025-03-11,0041,A,55,6.1NRT,292.1,6.63,N
10.82541,30.27868,306.81,1.02,1.01,2025-03-11,0041,A,40,6.1NRT,294.73,5.74,N
10.81792,30.26853,307.56,1.02,1.01,2025-03-11,0041,A,51,6.1NRT,294.02,5.76,N
10.81657,30.27737,306.36,1.02,1.01,2025-03-11,0041,A,29,6.1NRT,294.65,5.02,N
9.85335,35.60322,313.76,2.19,1.43,2025-03-11,0041,A,88,6.1NRT,290.68,40.04,N
9.84091,35.60057,312.18,2.19,1.43,2025-03-11,0041,A,84,6.1NRT,290.79,36.18,N
10.61259,29.78929,305.55,1,1,2025-03-11,0041,A,65,6.1NRT,290.32,5.92,N
10.5457,30.05282,301.57,1.01,1,2025-03-11,0041,A,42,6.1NRT,290.37,3.76,N
10.10164,32.0699,300.4,1.21,1.09,2025-03-11,0041,A,27,6.1NRT,288.97,4.7,N
9.49961,35.67661,300.23,2.25,1.45,2025-03-11,0041,A,17,6.1NRT,286.53,15.61,N
9.49572,35.69909,304.26,2.26,1.46,2025-03-11,0041,A,59,6.1NRT,287.08,22.93,N
9.49549,35.69242,308.21,2.26,1.46,2025-03-11,0041,A,74,6.1NRT,287.07,32.87,N
10.1506,28.81051,304.6,1.01,1,2025-03-11,0041,A,61,6.1NRT,290.19,5.46,N
8.67591,33.00612,319.44,1.45,1.19,2025-03-11,0041,A,99,6.1NRT,287.55,31.65,N
8.67384,33.0189,317.38,1.46,1.19,2025-03-11,0041,A,95,6.1NRT,287.42,28.29,N
8.66547,33.00446,300.09,1.45,1.19,2025-03-11,0041,A,16,6.1NRT,285.28,8.89,N
8.66339,33.01723,307.46,1.46,1.19,2025-03-11,0041,A,71,6.1NRT,286.43,16.35,N
8.90536,27.2833,305.24,1.1,1.04,2025-03-11,0041,A,64,6.1NRT,284.59,8.92,N
8.89618,27.28198,322.75,1.1,1.04,2025-03-11,0041,A,100,6.1NRT,286.85,24.73,N
8.89479,27.29165,301.43,1.09,1.04,2025-03-11,0041,A,19,6.1NRT,284.98,6.18,N
7.9321,32.65245,302.68,1.41,1.18,2025-03-11,0041,A,51,6.1NRT,285.35,9.35,N
7.03695,34.29348,327.39,1.94,1.36,2025-03-11,0041,A,100,6.1NRT,285.94,67.1,N
7.03424,34.31044,326.73,1.95,1.36,2025-03-11,0041,A,100,6.1NRT,290.44,65.55,N
7.02505,34.29155,316.05,1.94,1.36,2025-03-11,0041,A,92,6.1NRT,287.97,37.93,N
7.02233,34.30851,303.87,1.95,1.36,2025-03-11,0041,A,57,6.1NRT,289.23,15.07,N
8.03842,26.89755,320.16,1.12,1.05,2025-03-11,0041,A,100,6.1NRT,289.56,22.18,N
8.037,26.90739,309.92,1.12,1.05,2025-03-11,0041,A,79,6.1NRT,288.17,11.91,N
7.57813,27.71205,300.66,1.04,1.02,2025-03-11,0041,A,14,6.1NRT,289.11,4.08,N
7.56785,27.71985,309.97,1.03,1.02,2025-03-11,0041,A,79,6.1NRT,290.48,10.4,N
7.32452,28.35771,304.52,1,1,2025-03-11,0041,A,60,6.1NRT,289.32,6.51,N
6.89237,29.09365,308.53,1.01,1,2025-03-11,0041,A,75,6.1NRT,292.07,8.44,N
6.89104,29.10248,310.63,1.01,1,2025-03-11,0041,A,81,6.1NRT,290.64,9.88,N
6.26648,29.98401,303.76,1.06,1.03,2025-03-11,0041,A,57,6.1NRT,290.33,6.63,N
6.65168,23.57655,305.63,1.76,1.3,2025-03-11,0041,A,24,6.1NRT,289.89,15.97,N
6.63418,23.55172,313.9,1.77,1.3,2025-03-11,0041,A,32,6.1NRT,291.38,26.3,N
6.51305,23.66926,306.4,1.72,1.29,2025-03-11,0041,A,68,6.1NRT,287.69,17.91,N
6.5109,23.68447,304.84,1.72,1.29,2025-03-11,0041,A,62,6.1NRT,287.65,15.43,N
4.60098,27.24002,300.76,1.03,1.01,2025-03-11,0041,A,33,6.1NRT,285.73,5.7,N
3.82598,28.89157,303.48,1.02,1.01,2025-03-11,0043,A,55,6.1NRT,283.11,7.05,N
3.82464,28.90051,312.58,1.02,1.01,2025-03-11,0043,A,85,6.1NRT,283.88,13.37,N
3.20162,31.92456,303.62,1.49,1.2,2025-03-11,0043,A,56,6.1NRT,286.86,10.87,N
3.99717,24.15356,300.64,1.45,1.19,2025-03-11,0043,A,31,6.1NRT,287.41,8.3,N
2.94196,27.76764,311.68,1,1,2025-03-11,0043,A,83,6.1NRT,284.05,11.68,N
-1.40142,29.20802,352.88,1.16,1.07,2025-03-11,0043,A,100,6.1NRT,278.25,82.69,N
-1.40299,29.21872,331.1,1.16,1.07,2025-03-11,0043,A,92,6.1NRT,272.34,35.96,N
-1.40932,29.19651,339.99,1.16,1.07,2025-03-11,0043,A,78,6.1NRT,276.88,52.13,N
-1.41079,29.20651,480.06,1.16,1.07,2025-03-11,0043,A,100,6.1NRT,306.24,1470.62,N
-1.41235,29.21705,375.17,1.16,1.07,2025-03-11,0043,A,100,6.1NRT,278.97,165.82,N
